#SITE;LAT;LONG;IDTRONCON;IDUHRH;Nom de la station d'epuration;Numero de la station d'epuration;Numero du systeme de traitement;CRITERE;SOURCE;TYPE;EFFLUENT (l/j);Numero de lieu SAGO;Municipalite(s) desservie(s);Classification;Type de traitement (description);Taille de la station d'epuration;Categorie de suivi;Date de mise en service;Population de conception;Debit - Calcul de taille (m3/d);Debit de conception (m3/d);DBO5C de conception (kg/d);Lac/Cours d'eau (milieu recepteur);Nom du bassin primaire;equipements de traitements;Nombre d ouvrages de surverse;Date d'effectivite de l'AA
1;45.958611;-71.829167;88;195;Station d'epuration de Chesterville;39030-1;20;1;SURFACE;MUNICIPAL;167467;X2049635;0;etangs aeres;etangs aeres a parois verticales;Tres petite;2;36220;230;234.2;182.8;16.2;Dumont, Riviere;Nicolet, Riviere;"EA (4 cell.); PD";1;0
2;45.897222;-71.659444;105;234;Station d'epuration d'Ham-Nord;26690-1;31;1;SURFACE;MUNICIPAL;322233;X2049476;0;etangs aeres;etangs aeres;Tres petite;2;31990;500;365.7;295;27;Demers, Ruisseau;Nicolet, Riviere;"EA (2 cell.); PD";1;0
3;45.996667;-72.089444;75;164;Station d'epuration de Saint-Albert;34680-1;86;1;SURFACE;MUNICIPAL;187767;X2049501;0;etangs aeres;etangs aeres;Tres petite;2;34366;400;146.1;162;24;Nicolet, Riviere;Nicolet, Riviere;"EA (2 cell.); PD";2;0
4;45.873333;-71.941944;154;356;Station d'epuration de Tingwick;39025-2;482;1;SURFACE;MUNICIPAL;360000;X2049530;0;etangs aeres;etangs aeres;Tres petite;2;42005;478;378;396;36;0;Nicolet, Riviere;"EA (5 cell.); PD";1;0
5;45.946667;-72.006944;130;299;Station d'epuration de Warwick;34280-1;522;1;SURFACE;MUNICIPAL;3009167;X2049539;0;etangs aeres;etangs aeres;Moyenne;5;32478;4220;2978.3;3200;1051;Pins, Riviere des;Nicolet, Riviere;"EA (3 cell.); PD";4;0
6;46.051111;-71.976389;78;170;Station d'epuration de Victoriaville;34440-1;671;1;SURFACE;MUNICIPAL;36575600;X2049534;0;Boues activees;Boues activees;Grande;6;31413;34125;32710.7;28852;3600;Nicolet, Riviere;Nicolet, Riviere;"BA; DeC SEC; DeG GR; DESS AeRe; FG; PD";32;0
7;45.857072;-71.541353;120;271;Station d'epuration des Saints-Martyrs-Canadiens;39005-1;742;1;SURFACE;MUNICIPAL;19633;X2117929;0;Autres;Marais artificiel de type roseaux epurateurs HSS;Tres petite;1;40483;100;15.5;36;5.3;0;Nicolet, Riviere;"FS; ROS; PD";0;0
