RESUMER ZONES HYDROTEL VERSION;4.1.4.0000

UHRH ID; TYPE; ALTITUDE MOYENNE (m); PENTE MOYENNE; ORIENTATION MOYENNE; NB PIXEL; SUPERFICIE (km2); LONGITUDE; LATITUDE
306;SOUS-BASSIN;273.977325;0.052435;6;3927;9.817500;-71.87999;45.92785
307;SOUS-BASSIN;296.048553;0.062853;4;2534;6.335000;-71.87872;45.88623
308;SOUS-BASSIN;238.366440;0.068007;5;292;0.730000;-71.88166;45.90817
309;SOUS-BASSIN;295.562225;0.065147;3;1647;4.117500;-71.86225;45.88808
310;SOUS-BASSIN;243.428024;0.063797;6;264;0.660000;-71.87536;45.90259
311;SOUS-BASSIN;251.435898;0.042385;5;78;0.195000;-71.86277;45.90102
312;SOUS-BASSIN;257.765869;0.033786;8;252;0.630000;-71.86832;45.90658
313;SOUS-BASSIN;247.714279;0.066614;3;7;0.017500;-71.86152;45.90361
314;SOUS-BASSIN;285.076752;0.035788;7;1355;3.387500;-71.85737;45.91744
315;SOUS-BASSIN;348.137970;0.071965;3;1406;3.515000;-71.84385;45.88187
316;SOUS-BASSIN;295.270020;0.044020;5;4333;10.832500;-71.83207;45.90605
317;SOUS-BASSIN;358.966583;0.084108;4;688;1.720000;-71.83193;45.88521
318;SOUS-BASSIN;143.357880;0.025256;2;4264;10.660000;-72.02654;45.93767
319;SOUS-BASSIN;129.519226;0.026291;5;416;1.040000;-72.00483;45.93673
320;SOUS-BASSIN;139.691299;0.042972;2;379;0.947500;-71.98548;45.92197
321;SOUS-BASSIN;179.370453;0.084755;5;1706;4.265000;-71.96614;45.92893
322;SOUS-BASSIN;204.008072;0.058356;5;372;0.930000;-71.96081;45.91367
323;SOUS-BASSIN;226.033539;0.086679;6;626;1.565000;-71.95769;45.91907
324;SOUS-BASSIN;198.641785;0.105599;4;67;0.167500;-71.96224;45.91483
325;SOUS-BASSIN;133.699997;0.027082;1;10;0.025000;-71.98005;45.91572
326;SOUS-BASSIN;181.716583;0.054213;5;1302;3.255000;-71.96995;45.90629
327;SOUS-BASSIN;150.837296;0.056845;2;252;0.630000;-71.98433;45.91084
328;SOUS-BASSIN;176.290726;0.074515;1;1338;3.345000;-72.00487;45.91299
329;SOUS-BASSIN;145.167313;0.062131;4;514;1.285000;-71.99260;45.91620
330;SOUS-BASSIN;169.213104;0.087309;2;1084;2.710000;-71.99692;45.89824
331;SOUS-BASSIN;165.426529;0.043895;4;5676;14.190000;-71.97217;45.97310
332;SOUS-BASSIN;143.511597;0.024612;7;1595;3.987500;-71.97760;45.98699
333;SOUS-BASSIN;239.681412;0.047362;6;339;0.847500;-71.93307;46.00257
334;SOUS-BASSIN;117.317162;0.021324;3;2226;5.565000;-72.10491;45.96117
335;SOUS-BASSIN;124.675964;0.016187;5;7385;18.462500;-72.07022;45.97274
336;SOUS-BASSIN;126.398621;0.031124;2;1884;4.710000;-72.08227;45.93526
337;SOUS-BASSIN;124.841896;0.022312;5;2258;5.645000;-72.06238;45.94132
338;SOUS-BASSIN;132.582993;0.020230;2;1458;3.645000;-72.07316;45.91369
339;SOUS-BASSIN;129.741455;0.024298;6;878;2.195000;-72.04895;45.92769
340;SOUS-BASSIN;122.346382;0.022750;2;996;2.490000;-72.05661;45.90845
341;SOUS-BASSIN;142.033142;0.041326;5;1901;4.752500;-72.03400;45.91460
342;SOUS-BASSIN;127.743294;0.020857;1;2236;5.590000;-72.05813;45.89045
343;SOUS-BASSIN;140.205933;0.056565;5;1282;3.205000;-72.03416;45.89645
344;SOUS-BASSIN;131.940948;0.037122;4;254;0.635000;-72.03145;45.88393
345;SOUS-BASSIN;132.559998;0.055755;7;225;0.562500;-72.03273;45.88663
346;SOUS-BASSIN;199.714813;0.072273;6;540;1.350000;-72.01706;45.89524
347;SOUS-BASSIN;121.799408;0.023041;2;1685;4.212500;-72.03815;45.86598
348;SOUS-BASSIN;136.422272;0.035660;6;3898;9.745000;-72.01960;45.87391
349;SOUS-BASSIN;135.106277;0.043658;5;207;0.517500;-71.98836;45.86896
350;SOUS-BASSIN;137.350800;0.051465;1;496;1.240000;-71.99426;45.87361
351;SOUS-BASSIN;157.308945;0.052266;6;1476;3.690000;-71.98099;45.89113
352;SOUS-BASSIN;136.483658;0.045975;8;153;0.382500;-71.99017;45.88264
353;SOUS-BASSIN;135.266663;0.047985;8;30;0.075000;-71.98727;45.88600
354;SOUS-BASSIN;158.361526;0.037825;4;993;2.482500;-71.96679;45.86965
355;SOUS-BASSIN;215.496277;0.039450;6;6182;15.455000;-71.94438;45.89303
356;SOUS-BASSIN;219.223389;0.045787;5;1240;3.100000;-71.93650;45.87500
357;SOUS-BASSIN;181.610001;0.059903;3;2800;7.000000;-71.96852;45.85275
358;SOUS-BASSIN;171.901688;0.051613;6;1841;4.602500;-71.95864;45.86196
359;SOUS-BASSIN;289.158142;0.069805;5;3971;9.927500;-71.89290;45.86383
360;SOUS-BASSIN;234.358887;0.028054;8;1722;4.305000;-71.91534;45.87618
361;SOUS-BASSIN;269.820251;0.033392;5;1007;2.517500;-71.89190;45.88527
362;SOUS-BASSIN;224.691116;0.058164;2;1091;2.727500;-71.93054;45.84482
363;SOUS-BASSIN;243.099579;0.073909;5;2129;5.322500;-71.91102;45.84284
364;SOUS-BASSIN;198.739136;0.036294;2;23;0.057500;-71.91910;45.83899
