RESUMER ZONES HYDROTEL VERSION;4.1.4.0000

UHRH ID; TYPE; ALTITUDE MOYENNE (m); PENTE MOYENNE; ORIENTATION MOYENNE; NB PIXEL; SUPERFICIE (km2); LONGITUDE; LATITUDE
72;SOUS-BASSIN;155.207550;0.036138;7;159;0.397500;-71.85491;46.15808
73;SOUS-BASSIN;156.285721;0.048411;4;28;0.070000;-71.84825;46.15477
74;SOUS-BASSIN;163.936172;0.019407;7;423;1.057500;-71.84845;46.16579
75;SOUS-BASSIN;154.307693;0.080775;2;39;0.097500;-71.84519;46.15469
76;SOUS-BASSIN;172.222900;0.014934;7;5940;14.850000;-71.81882;46.17804
77;SOUS-BASSIN;157.437500;0.062453;8;32;0.080000;-71.84622;46.15219
78;SOUS-BASSIN;148.702698;0.056456;4;37;0.092500;-71.84345;46.15067
79;SOUS-BASSIN;155.368423;0.028298;3;323;0.807500;-71.84767;46.14326
80;SOUS-BASSIN;148.693542;0.045906;5;62;0.155000;-71.84462;46.14754
81;SOUS-BASSIN;160.058136;0.018750;3;602;1.505000;-71.83135;46.13896
82;SOUS-BASSIN;178.879669;0.022588;5;3881;9.702500;-71.80012;46.15505
83;SOUS-BASSIN;161.083328;0.031225;4;48;0.120000;-71.82160;46.14062
84;SOUS-BASSIN;159.586670;0.018712;7;75;0.187500;-71.82316;46.14426
85;SOUS-BASSIN;205.565918;0.056877;3;2564;6.410000;-71.79800;46.12371
86;SOUS-BASSIN;220.840179;0.069080;5;4361;10.902500;-71.76737;46.13801
87;SOUS-BASSIN;205.892853;0.075086;3;784;1.960000;-71.77897;46.12273
88;SOUS-BASSIN;182.042786;0.060401;6;187;0.467500;-71.76825;46.13140
89;SOUS-BASSIN;180.448273;0.070925;2;29;0.072500;-71.76666;46.12704
90;SOUS-BASSIN;236.760803;0.109797;5;301;0.752500;-71.75463;46.12718
91;SOUS-BASSIN;256.503845;0.114500;2;2078;5.195000;-71.78049;46.10075
92;SOUS-BASSIN;242.524048;0.128916;5;1580;3.950000;-71.76036;46.11293
