 ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Annee:2013;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Numero de l'intervenant;Nom de l'intervenant;Numero sequentiel du lieu de la declaration;Annee;Mois;Nbr annuel de jours de prelevement;Volume annuel preleve (l);Volume moyen quotidien (l);Nombre de jour de prelevement;Volume dedie par lieu par scian;Volume total mensuel;Source du prelevement (description);Numero sequentiel d'utilisation de la declaration;Numero sequentiel du site de prelevement;Nom legal du lieu ou personne physique;Code scian par lieu par mois (code);Code scian par lieu par mois (description);Code scian par lieu par mois (groupe);Latitude DD Nad83 (site);Longitude DD Nad83 (site);Volume consomme par lieu par scian
25352212;"Poseidon ""Les poissons et crustaces"" inc.";19553;2013;9;136;19040000;140000;13;1820000;1820000;NULL;123668;26347;"Poseidon ""Les poissons et crustaces"" inc.";3117;Preparation & cond. de poissons & fruits de mer;311   ;NULL;NULL;NULL
Y2010593;Ville de Sept-iles;19545;2013;7;365;24484000;91000;31;2689000;2689000;Souterrain;123669;26335;Station de purification Gallix (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;50.14770713;-66.61602646;NULL
25352212;"Poseidon ""Les poissons et crustaces"" inc.";19553;2013;6;136;19040000;140000;20;2800000;2800000;NULL;123653;26347;"Poseidon ""Les poissons et crustaces"" inc.";3117;Preparation & cond. de poissons & fruits de mer;311   ;NULL;NULL;NULL
Y2071665;Simard-Beaudry Construction inc.;19185;2013;7;217;1145760000;5280000;31;163680000;163680000;Souterrain;123670;25731;Simard-Beaudry inc. (Laval);21231;Extraction de pierre;2123  ;45.6368;-73.6823;0
Y2010593;Ville de Sept-iles;19545;2013;8;365;24484000;91000;31;2666000;2666000;Souterrain;123671;26335;Station de purification Gallix (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;50.14770713;-66.61602646;NULL
Y2010593;Ville de Sept-iles;19545;2013;9;365;24484000;91000;30;1687000;1687000;Souterrain;123672;26335;Station de purification Gallix (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;50.14770713;-66.61602646;NULL
Y2010593;Ville de Sept-iles;19545;2013;7;365;24484000;91000;31;2689000;2689000;Souterrain;123690;26334;Station de purification Gallix (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;50.14715773;-66.617086;NULL
Y2010593;Ville de Sept-iles;19545;2013;4;365;24484000;91000;30;1787000;1787000;Souterrain;123699;26333;Station de purification Gallix (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;50.14775947;-66.61818033;NULL
Y2071288;Parmalat Canada inc.;20051;2013;3;365;561447810;1913439.35;31;40197740;40197740;Surface;132490;27204;Parmalat Victoriaville;3115;Fab. de produits laitiers;311   ;46.06701249;-71.9720111;0
11808219;Agrilait, cooperative agricole;16377;2013;1;327;1300000;4407.41;31;120000;120000;Souterrain;82976;21554;Agrilait, cooperative agricole;3115;Fab. de produits laitiers;311   ;45.8750681;-72.77922619;NULL
Y2010465;Ville de Richmond;16987;2013;1;365;501402000;1990266.67;31;28436000;28436000;Souterrain;93177;22467;Station de purification Richmond;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.6278736;-72.11102044;4265400
13429402;Ville de Lery;16364;2013;1;365;32287000;133838.71;31;1805000;1805000;Souterrain;82763;21539;Station de purification Lery-Chateaulyne (poste chloration);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.36124842;-73.78916814;NULL
Y2086062;Technologies Iweb inc.;20106;2013;2;365;23914300;85946.67;28;1574700;1574700;Souterrain;133186;27283;Technologies IWEB inc.;541990;Tous autres services profess., scient. & techn.;54199 ;45.59911111;-73.60758333;1574700
Y2086062;Technologies Iweb inc.;20106;2013;5;365;23914300;85946.67;31;2144600;2144600;Souterrain;133208;27283;Technologies IWEB inc.;541990;Tous autres services profess., scient. & techn.;54199 ;45.59911111;-73.60758333;2144600
Y2049747;Lallemand Solutions Sante inc.;20117;2013;1;13;37987000;6726000;1;2449000;2449000;NULL;133209;27292;Lallemand Solutions Sante inc.;311990;Fab. de tous les autres aliments;31199 ;NULL;NULL;NULL
Y2086062;Technologies Iweb inc.;20106;2013;11;365;23914300;85946.67;30;1166100;1166100;Souterrain;133220;27283;Technologies IWEB inc.;541990;Tous autres services profess., scient. & techn.;54199 ;45.59911111;-73.60758333;1166100
Y2049747;Lallemand Solutions Sante inc.;20117;2013;2;13;37987000;6726000;1;2610000;2610000;NULL;133227;27292;Lallemand Solutions Sante inc.;311990;Fab. de tous les autres aliments;31199 ;NULL;NULL;NULL
Y2049747;Lallemand Solutions Sante inc.;20117;2013;4;13;37987000;6726000;1;2799000;2799000;NULL;133230;27292;Lallemand Solutions Sante inc.;311990;Fab. de tous les autres aliments;31199 ;NULL;NULL;NULL
Y2049747;Lallemand Solutions Sante inc.;20117;2013;5;13;37987000;6726000;1;3364000;3364000;NULL;133231;27292;Lallemand Solutions Sante inc.;311990;Fab. de tous les autres aliments;31199 ;NULL;NULL;NULL
Y2095416;Nutriart inc.;20114;2013;1;365;62025000;195096.77;31;5229000;5229000;NULL;133240;27293;Nutriart inc;311320;Fab. de chocolat & confiserie a partir de feves;31132 ;NULL;NULL;NULL
90541913;Clublink Le Maitre inc.;20108;2013;7;86;16802000;520500;15;4860000;4860000;Surface;133293;27285;Le Maitre de Mont-Tremblant;71391;Terrains de golf & country clubs;7139  ;46.19865;-74.599417;4860000
Y2049747;Lallemand Solutions Sante inc.;20117;2013;10;13;37987000;6726000;1;3221000;3221000;NULL;133244;27292;Lallemand Solutions Sante inc.;311990;Fab. de tous les autres aliments;31199 ;NULL;NULL;NULL
90541913;Clublink Le Maitre inc.;20108;2013;6;86;16802000;520500;9;1722000;1722000;Surface;133292;27285;Le Maitre de Mont-Tremblant;71391;Terrains de golf & country clubs;7139  ;46.19865;-74.599417;1722000
90541913;Clublink Le Maitre inc.;20108;2013;8;86;16802000;520500;25;4119000;4119000;Surface;133294;27285;Le Maitre de Mont-Tremblant;71391;Terrains de golf & country clubs;7139  ;46.19865;-74.599417;4119000
90541913;Clublink Le Maitre inc.;20108;2013;9;86;16802000;520500;16;1289000;1289000;Surface;133295;27285;Le Maitre de Mont-Tremblant;71391;Terrains de golf & country clubs;7139  ;46.19865;-74.599417;1289000
13426952;Municipalite de Saint-epiphane;20123;2013;8;365;33505000;118161.29;31;2747000;2747000;Souterrain;133337;27300;Station de purification Saint-epiphane;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;47.90402279;-69.33341293;NULL
Y2003431;Ville de Thetford-Mines;20067;2013;3;151;21001000;157933.33;31;4370000;4370000;Souterrain;133341;27230;Installation de production Thetford Mines (Pontbriand);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.15782383;-71.24782204;NULL
13426952;Municipalite de Saint-epiphane;20123;2013;9;365;33505000;118161.29;30;2626000;2626000;Souterrain;133342;27300;Station de purification Saint-epiphane;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;47.90402279;-69.33341293;NULL
Y2003431;Ville de Thetford-Mines;20067;2013;4;151;21001000;157933.33;30;4738000;4738000;Souterrain;133343;27230;Installation de production Thetford Mines (Pontbriand);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.15782383;-71.24782204;NULL
Y2003431;Ville de Thetford-Mines;20067;2013;5;151;21001000;157933.33;31;3871000;3871000;Souterrain;133344;27230;Installation de production Thetford Mines (Pontbriand);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.15782383;-71.24782204;NULL
11894003;Municipalite de Saint-Hubert-de-Riviere-du-Loup;20099;2013;11;365;37693000;234483.87;30;2528000;2528000;Souterrain;133345;27272;Station de purification Saint-Hubert (Nouvelle station);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;47.79527333;-69.18496333;NULL
13426952;Municipalite de Saint-epiphane;20123;2013;10;365;33505000;118161.29;31;2901000;2901000;Souterrain;133347;27300;Station de purification Saint-epiphane;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;47.90402279;-69.33341293;NULL
Y2003431;Ville de Thetford-Mines;20066;2013;6;365;51481000;260258.06;30;3821000;3821000;Souterrain;133354;27229;Installation de production Thetford Mines (Black Lake);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.07769117;-71.47586278;NULL
Y2003431;Ville de Thetford-Mines;20066;2013;7;365;51481000;260258.06;31;4075000;4075000;Souterrain;133355;27229;Installation de production Thetford Mines (Black Lake);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.07769117;-71.47586278;NULL
Y2003431;Ville de Thetford-Mines;20066;2013;8;365;51481000;260258.06;31;3458000;3458000;Souterrain;133356;27229;Installation de production Thetford Mines (Black Lake);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.07769117;-71.47586278;NULL
11894003;Municipalite de Saint-Hubert-de-Riviere-du-Loup;20099;2013;12;365;37693000;234483.87;31;2822000;2822000;Souterrain;133357;27272;Station de purification Saint-Hubert (Nouvelle station);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;47.79527333;-69.18496333;NULL
Y2003431;Ville de Thetford-Mines;20066;2013;9;365;51481000;260258.06;30;3612000;3612000;Souterrain;133358;27229;Installation de production Thetford Mines (Black Lake);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.07769117;-71.47586278;NULL
13426952;Municipalite de Saint-epiphane;20123;2013;12;365;33505000;118161.29;31;2778000;2778000;Souterrain;133359;27300;Station de purification Saint-epiphane;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;47.90402279;-69.33341293;NULL
