Installation de production Saint-Cyrille-de-Wendover;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Annee:2018;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Numero de l'intervenant;Nom de l'intervenant;Numero sequentiel du lieu de la declaration;Annee;Mois;Nbr annuel de jours de prelevement;Volume annuel preleve (l);Volume moyen quotidien (l);Nombre de jour de prelevement;Volume dedie par lieu par scian;Volume total mensuel;Source du prelevement (description);Numero sequentiel d'utilisation de la declaration;Numero sequentiel du site de prelevement;Nom legal du lieu ou personne physique;Code scian par lieu par mois (code);Code scian par lieu par mois (description);Code scian par lieu par mois (groupe);Latitude DD Nad83 (site);Longitude DD Nad83 (site);Volume consomme par lieu par scian
13786017;Municipalite de Saint-Francois-d'Assise;32033;2018;9;365;10631000;37266.67;30;861000;861000;Souterrain;307140;46165;Station de purification (chlor. uv.) Saint-Francois-d'Assise;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;47.98087062;-67.17526479;NULL
13786017;Municipalite de Saint-Francois-d'Assise;32033;2018;10;365;10631000;37266.67;31;959000;959000;Souterrain;307141;46165;Station de purification (chlor. uv.) Saint-Francois-d'Assise;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;47.98087062;-67.17526479;NULL
13786017;Municipalite de Saint-Francois-d'Assise;32033;2018;11;365;10631000;37266.67;30;521000;521000;Souterrain;307142;46165;Station de purification (chlor. uv.) Saint-Francois-d'Assise;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;47.98087062;-67.17526479;NULL
13786017;Municipalite de Saint-Francois-d'Assise;32033;2018;12;365;10631000;37266.67;31;398000;398000;Souterrain;307143;46165;Station de purification (chlor. uv.) Saint-Francois-d'Assise;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;47.98087062;-67.17526479;NULL
13786017;Municipalite de Saint-Francois-d'Assise;32033;2018;1;364;44443000;157100;31;4073000;4073000;Souterrain;307144;46167;Station de purification (chlor. uv.) Saint-Francois-d'Assise;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;47.98104861;-67.17459383;NULL
13786017;Municipalite de Saint-Francois-d'Assise;32033;2018;2;364;44443000;157100;28;3575000;3575000;Souterrain;307145;46167;Station de purification (chlor. uv.) Saint-Francois-d'Assise;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;47.98104861;-67.17459383;NULL
Y2074210;Glencore Canada Corporation;31897;2018;6;365;34407000;113096.77;30;2664000;2664000;Souterrain;307281;45923;Mine Matagami;2122;Extraction de minerais metalliques;212   ;49.723167;-77.72225;NULL
Y2074210;Glencore Canada Corporation;31899;2018;1;144;132621650;1275887.59;0;0;0;Surface;307288;45926;Perseverance;2122;Extraction de minerais metalliques;212   ;49.759722;-77.788861;NULL
16140634;Placage Jay Ge ltee;32051;2018;1;365;63287000;199903.23;31;4833000;4833000;NULL;307511;46204;Placage Jay Ge Ltee;332810;Revet., gravure, trait. therm. & act. analogues;33281 ;NULL;NULL;NULL
16140634;Placage Jay Ge ltee;32051;2018;2;365;63287000;199903.23;28;4365000;4365000;NULL;307512;46204;Placage Jay Ge Ltee;332810;Revet., gravure, trait. therm. & act. analogues;33281 ;NULL;NULL;NULL
16140634;Placage Jay Ge ltee;32051;2018;3;365;63287000;199903.23;31;4833000;4833000;NULL;307513;46204;Placage Jay Ge Ltee;332810;Revet., gravure, trait. therm. & act. analogues;33281 ;NULL;NULL;NULL
16140634;Placage Jay Ge ltee;32051;2018;4;365;63287000;199903.23;30;5601000;5601000;NULL;307514;46204;Placage Jay Ge Ltee;332810;Revet., gravure, trait. therm. & act. analogues;33281 ;NULL;NULL;NULL
Y0000751;Societe en nom collectif Domaine Laforest;32070;2018;6;150;83794473;921351.29;30;20595479;20595479;Souterrain;307609;46215;Domaine Laforest (Paul Desmarais);713910;Terrains de golf & country clubs;71391 ;47.995555;-70.075277;NULL
Y0000751;Societe en nom collectif Domaine Laforest;32070;2018;7;150;83794473;921351.29;31;28561890;28561890;Souterrain;307610;46215;Domaine Laforest (Paul Desmarais);713910;Terrains de golf & country clubs;71391 ;47.995555;-70.075277;NULL
Y0000751;Societe en nom collectif Domaine Laforest;32070;2018;8;150;83794473;921351.29;31;22049172;22049172;Souterrain;307611;46215;Domaine Laforest (Paul Desmarais);713910;Terrains de golf & country clubs;71391 ;47.995555;-70.075277;NULL
Y2008801;Municipalite de Saint-Casimir;32067;2018;1;365;208526000;664000;31;18142000;18142000;Surface;307612;46212;Installation de production d'eau potable Saint-Casimir ;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.73027453;-72.19305016;NULL
Y0000751;Societe en nom collectif Domaine Laforest;32070;2018;9;150;83794473;921351.29;30;7179552;7179552;Souterrain;307613;46215;Domaine Laforest (Paul Desmarais);713910;Terrains de golf & country clubs;71391 ;47.995555;-70.075277;NULL
Y2008801;Municipalite de Saint-Casimir;32067;2018;2;365;208526000;664000;28;15910000;15910000;Surface;307614;46212;Installation de production d'eau potable Saint-Casimir ;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.73027453;-72.19305016;NULL
Y0000751;Societe en nom collectif Domaine Laforest;32070;2018;10;150;83794473;921351.29;5;53730;53730;Souterrain;307615;46215;Domaine Laforest (Paul Desmarais);713910;Terrains de golf & country clubs;71391 ;47.995555;-70.075277;NULL
11141181;Hydro-Quebec;31384;2018;2;365;50027400;158338.71;28;3264100;3264100;Surface;307616;45066;Sakami (LG3-HQ);2211;Product. transport & distribution d'electricite;221   ;53.69896111;-76.06930833;NULL
11141181;Hydro-Quebec;31384;2018;3;365;50027400;158338.71;31;3719500;3719500;Surface;307617;45066;Sakami (LG3-HQ);2211;Product. transport & distribution d'electricite;221   ;53.69896111;-76.06930833;NULL
11141181;Hydro-Quebec;31384;2018;4;365;50027400;158338.71;30;3709400;3709400;Surface;307618;45066;Sakami (LG3-HQ);2211;Product. transport & distribution d'electricite;221   ;53.69896111;-76.06930833;NULL
Y2008801;Municipalite de Saint-Casimir;32067;2018;3;365;208526000;664000;31;16926000;16926000;Surface;307619;46212;Installation de production d'eau potable Saint-Casimir ;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.73027453;-72.19305016;NULL
13425251;Municipalite de Saint-Donat;31954;2018;5;365;101973300;392225.81;31;7631000;7631000;Souterrain;307689;46032;Systeme d'approvisionnement sans traitement, St-Donat, municipal;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.31500299;-74.2103055;1144650
13425251;Municipalite de Saint-Donat;31954;2018;6;365;101973300;392225.81;30;8853000;8853000;Souterrain;307690;46032;Systeme d'approvisionnement sans traitement, St-Donat, municipal;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.31500299;-74.2103055;1327950
13425251;Municipalite de Saint-Donat;31954;2018;7;365;101973300;392225.81;31;9382000;9382000;Souterrain;307691;46032;Systeme d'approvisionnement sans traitement, St-Donat, municipal;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.31500299;-74.2103055;1407300
13425251;Municipalite de Saint-Donat;31954;2018;8;365;101973300;392225.81;31;10452000;10452000;Souterrain;307692;46032;Systeme d'approvisionnement sans traitement, St-Donat, municipal;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.31500299;-74.2103055;1567800
Y2056589;Club de golf Metaberoutin 2002 inc.;32084;2018;1;91;109482000;1509000;0;0;0;Surface;307757;46236;Club de golf Metaberoutin 2002 inc.;71391;Terrains de golf & country clubs;7139  ;46.36349935;-72.54249072;NULL
Y2109570;Canadian Malartic GP;32085;2018;3;271;127188000;870913.04;27;5203000;5203000;Surface;307811;46240;Mine Canadian Malartic;212220;Extraction de minerais d'or & d'argent;21222 ;48.11537146;-78.13174297;NULL
Y2070944;Rio Tinto Alcan inc.;32076;2018;1;365;158500000;522709.68;31;10585000;10585000;Surface;307812;46226;Rio Tinto Alcan inc. (Usine Alma);3313;Production & transformation d'alumine & d'Al;331   ;48.58553333;-71.69518889;NULL
Y2109570;Canadian Malartic GP;32085;2018;4;271;127188000;870913.04;30;14847000;14847000;Surface;307813;46240;Mine Canadian Malartic;212220;Extraction de minerais d'or & d'argent;21222 ;48.11537146;-78.13174297;NULL
Y2109570;Canadian Malartic GP;32085;2018;5;271;127188000;870913.04;31;24080000;24080000;Surface;307814;46240;Mine Canadian Malartic;212220;Extraction de minerais d'or & d'argent;21222 ;48.11537146;-78.13174297;NULL
Y2070944;Rio Tinto Alcan inc.;32076;2018;2;365;158500000;522709.68;28;10419000;10419000;Surface;307815;46226;Rio Tinto Alcan inc. (Usine Alma);3313;Production & transformation d'alumine & d'Al;331   ;48.58553333;-71.69518889;NULL
Y2109570;Canadian Malartic GP;32085;2018;6;271;127188000;870913.04;17;10210000;10210000;Surface;307816;46240;Mine Canadian Malartic;212220;Extraction de minerais d'or & d'argent;21222 ;48.11537146;-78.13174297;NULL
Y2070944;Rio Tinto Alcan inc.;32076;2018;3;365;158500000;522709.68;31;12977000;12977000;Surface;307817;46226;Rio Tinto Alcan inc. (Usine Alma);3313;Production & transformation d'alumine & d'Al;331   ;48.58553333;-71.69518889;NULL
Y2070944;Rio Tinto Alcan inc.;32076;2018;4;365;158500000;522709.68;30;13699000;13699000;Surface;307818;46226;Rio Tinto Alcan inc. (Usine Alma);3313;Production & transformation d'alumine & d'Al;331   ;48.58553333;-71.69518889;NULL
Y2109570;Canadian Malartic GP;32085;2018;7;271;127188000;870913.04;15;10222000;10222000;Surface;307819;46240;Mine Canadian Malartic;212220;Extraction de minerais d'or & d'argent;21222 ;48.11537146;-78.13174297;NULL
Y2070944;Rio Tinto Alcan inc.;32076;2018;5;365;158500000;522709.68;31;14511000;14511000;Surface;307820;46226;Rio Tinto Alcan inc. (Usine Alma);3313;Production & transformation d'alumine & d'Al;331   ;48.58553333;-71.69518889;NULL
Y2183626;Arbec, bois d'oeuvre inc.;31998;2018;4;365;2984096000;8175612.9;30;245268000;245268000;Surface;307821;46107;Prise d'eau brute (Arbec usine Port-Cartier inc.);48699;Tous les autres services, transport pipeline;4869  ;50.03313611;-66.87601944;NULL
Y2109570;Canadian Malartic GP;32085;2018;8;271;127188000;870913.04;18;11032000;11032000;Surface;307822;46240;Mine Canadian Malartic;212220;Extraction de minerais d'or & d'argent;21222 ;48.11537146;-78.13174297;NULL
Y2070944;Rio Tinto Alcan inc.;32076;2018;6;365;158500000;522709.68;30;15501000;15501000;Surface;307823;46226;Rio Tinto Alcan inc. (Usine Alma);3313;Production & transformation d'alumine & d'Al;331   ;48.58553333;-71.69518889;NULL
Y2070944;Rio Tinto Alcan inc.;32076;2018;7;365;158500000;522709.68;31;16204000;16204000;Surface;307824;46226;Rio Tinto Alcan inc. (Usine Alma);3313;Production & transformation d'alumine & d'Al;331   ;48.58553333;-71.69518889;NULL
Y2070944;Rio Tinto Alcan inc.;32078;2018;2;365;415551000;1742129.03;28;27286000;27286000;NULL;308129;46229;Rio Tinto Alcan inc. (Usine Grande-Baie);3313;Production & transformation d'alumine & d'Al;331   ;NULL;NULL;NULL
90482043;Les Mines Opinaca ltee;32029;2018;10;123;66638000;3348750;4;13395000;13395000;Surface;308961;46158;Propriete eleonore;212220;Extraction de minerais d'or & d'argent;21222 ;52.70399511;-76.07267689;NULL
Y2074210;Glencore Canada Corporation;31898;2018;3;365;727491820;2583762.9;31;55709860;55709860;Surface;308968;45925;Mine Raglan;212232;Extraction de minerais de nickel-cuivre;21223 ;61.68022222;-73.68522222;NULL
90482043;Les Mines Opinaca ltee;32029;2018;5;90;227571000;3409217.39;23;78412000;78412000;Surface;308969;46156;Propriete eleonore;212220;Extraction de minerais d'or & d'argent;21222 ;52.706544;-76.138786;NULL
Y2074210;Glencore Canada Corporation;31898;2018;4;365;727491820;2583762.9;30;58214270;58214270;Surface;308970;45925;Mine Raglan;212232;Extraction de minerais de nickel-cuivre;21223 ;61.68022222;-73.68522222;NULL
15926173;Municipalite de Lambton;28484;2018;7;365;27898700;88010;31;2577000;2577000;Souterrain;290520;41038;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.8381;-71.08;2538830
15926173;Municipalite de Lambton;28484;2018;7;365;14553000;45970;31;1315700;1315700;Souterrain;290521;41037;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.8322;-71.0753;1292700
11141181;Hydro-Quebec;31348;2018;12;NULL;NULL;NULL;NULL;NULL;NULL;Souterrain;296889;45027;Campement Poste Nemiscau;238210;Entrepreneurs en travaux d'electricite;23821 ;51.70633333;-76.03602778;NULL
13428453;Municipalite de Saint-Paul-d'Abbotsford;31322;2018;3;342;6498000;26333.33;31;472000;472000;Souterrain;296892;44993;Station de purification Saint-Paul-d'Abbotsford;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.4392;-72.8759;472000
13428453;Municipalite de Saint-Paul-d'Abbotsford;31322;2018;2;342;6498000;26333.33;27;357000;357000;Souterrain;296891;44993;Station de purification Saint-Paul-d'Abbotsford;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.4392;-72.8759;357000
13428453;Municipalite de Saint-Paul-d'Abbotsford;31322;2018;4;342;6498000;26333.33;30;562000;562000;Souterrain;296893;44993;Station de purification Saint-Paul-d'Abbotsford;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.4392;-72.8759;562000
13428453;Municipalite de Saint-Paul-d'Abbotsford;31322;2018;5;342;6498000;26333.33;30;790000;790000;Souterrain;296894;44993;Station de purification Saint-Paul-d'Abbotsford;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.4392;-72.8759;790000
13428453;Municipalite de Saint-Paul-d'Abbotsford;31322;2018;6;342;6498000;26333.33;29;704000;704000;Souterrain;296895;44993;Station de purification Saint-Paul-d'Abbotsford;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.4392;-72.8759;704000
13428453;Municipalite de Saint-Paul-d'Abbotsford;31322;2018;7;342;6498000;26333.33;29;676000;676000;Souterrain;296896;44993;Station de purification Saint-Paul-d'Abbotsford;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.4392;-72.8759;676000
13428453;Municipalite de Saint-Paul-d'Abbotsford;31322;2018;8;342;6498000;26333.33;31;702000;702000;Souterrain;296897;44993;Station de purification Saint-Paul-d'Abbotsford;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.4392;-72.8759;702000
13428453;Municipalite de Saint-Paul-d'Abbotsford;31322;2018;9;342;6498000;26333.33;23;507000;507000;Souterrain;296898;44993;Station de purification Saint-Paul-d'Abbotsford;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.4392;-72.8759;507000
13428453;Municipalite de Saint-Paul-d'Abbotsford;31322;2018;10;342;6498000;26333.33;21;367000;367000;Souterrain;296899;44993;Station de purification Saint-Paul-d'Abbotsford;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.4392;-72.8759;367000
13428453;Municipalite de Saint-Paul-d'Abbotsford;31322;2018;11;342;6498000;26333.33;30;508000;508000;Souterrain;296900;44993;Station de purification Saint-Paul-d'Abbotsford;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.4392;-72.8759;508000
13428453;Municipalite de Saint-Paul-d'Abbotsford;31322;2018;12;342;6498000;26333.33;31;407000;407000;Souterrain;296901;44993;Station de purification Saint-Paul-d'Abbotsford;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.4392;-72.8759;407000
24012353;Regie intermunicipale d'alimentation en eau potable du Bas-Saint-Francois;31434;2018;4;365;607772000;2544322.58;30;47367000;47367000;Surface;297079;45127;Station de purification R.I.A.E.P.B.S.F. (sta.pur.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.06505048;-72.81083528;47367000
24012353;Regie intermunicipale d'alimentation en eau potable du Bas-Saint-Francois;31434;2018;5;365;607772000;2544322.58;31;51445000;51445000;Surface;297080;45127;Station de purification R.I.A.E.P.B.S.F. (sta.pur.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.06505048;-72.81083528;51445000
24012353;Regie intermunicipale d'alimentation en eau potable du Bas-Saint-Francois;31434;2018;6;365;607772000;2544322.58;30;59955000;59955000;Surface;297081;45127;Station de purification R.I.A.E.P.B.S.F. (sta.pur.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.06505048;-72.81083528;59955000
24012353;Regie intermunicipale d'alimentation en eau potable du Bas-Saint-Francois;31434;2018;7;365;607772000;2544322.58;31;78874000;78874000;Surface;297082;45127;Station de purification R.I.A.E.P.B.S.F. (sta.pur.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.06505048;-72.81083528;78874000
24012353;Regie intermunicipale d'alimentation en eau potable du Bas-Saint-Francois;31434;2018;8;365;607772000;2544322.58;31;58957000;58957000;Surface;297083;45127;Station de purification R.I.A.E.P.B.S.F. (sta.pur.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.06505048;-72.81083528;58957000
Y2056133;Municipalite de la paroisse de Sainte-Irene;31438;2018;1;365;8491620;51709.68;31;573000;573000;Souterrain;297114;45131;Station de purification Aqueduc de Sainte-Irene;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.4465;-67.5759;NULL
Y2056133;Municipalite de la paroisse de Sainte-Irene;31439;2018;11;365;29203000;100838.71;30;2853000;2853000;Souterrain;297136;45132;Station de purification du parc regional de Val-d'Irene;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.47270661;-67.57228754;NULL
Y2056133;Municipalite de la paroisse de Sainte-Irene;31439;2018;12;365;29203000;100838.71;31;1886000;1886000;Souterrain;297137;45132;Station de purification du parc regional de Val-d'Irene;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.47270661;-67.57228754;NULL
13436134;Municipalite de Longue-Pointe-de-Mingan;31440;2018;2;18;41026000;3741000;1;2412000;2412000;Souterrain;297151;45133;Station de purification (Longue-Pointe-de-Mingan);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;50.28465039;-64.1517052;NULL
13436134;Municipalite de Longue-Pointe-de-Mingan;31440;2018;3;18;41026000;3741000;1;3741000;3741000;Souterrain;297152;45133;Station de purification (Longue-Pointe-de-Mingan);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;50.28465039;-64.1517052;NULL
13436134;Municipalite de Longue-Pointe-de-Mingan;31440;2018;4;18;41026000;3741000;2;4380000;4380000;Souterrain;297153;45133;Station de purification (Longue-Pointe-de-Mingan);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;50.28465039;-64.1517052;NULL
13436134;Municipalite de Longue-Pointe-de-Mingan;31440;2018;5;18;41026000;3741000;2;4391000;4391000;Souterrain;297154;45133;Station de purification (Longue-Pointe-de-Mingan);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;50.28465039;-64.1517052;NULL
13436134;Municipalite de Longue-Pointe-de-Mingan;31440;2018;6;18;41026000;3741000;2;3567000;3567000;Souterrain;297155;45133;Station de purification (Longue-Pointe-de-Mingan);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;50.28465039;-64.1517052;NULL
13436134;Municipalite de Longue-Pointe-de-Mingan;31440;2018;7;18;41026000;3741000;2;4955000;4955000;Souterrain;297156;45133;Station de purification (Longue-Pointe-de-Mingan);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;50.28465039;-64.1517052;NULL
13436134;Municipalite de Longue-Pointe-de-Mingan;31440;2018;8;18;41026000;3741000;2;4345000;4345000;Souterrain;297157;45133;Station de purification (Longue-Pointe-de-Mingan);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;50.28465039;-64.1517052;NULL
13436134;Municipalite de Longue-Pointe-de-Mingan;31440;2018;9;18;41026000;3741000;1;3271000;3271000;Souterrain;297158;45133;Station de purification (Longue-Pointe-de-Mingan);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;50.28465039;-64.1517052;NULL
13436134;Municipalite de Longue-Pointe-de-Mingan;31440;2018;10;18;41026000;3741000;1;3318000;3318000;Souterrain;297159;45133;Station de purification (Longue-Pointe-de-Mingan);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;50.28465039;-64.1517052;NULL
13436134;Municipalite de Longue-Pointe-de-Mingan;31440;2018;11;18;41026000;3741000;1;2561000;2561000;Souterrain;297160;45133;Station de purification (Longue-Pointe-de-Mingan);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;50.28465039;-64.1517052;NULL
Y0600754;Entreprise Indorama PTA Montreal S.E.C.;31613;2018;4;365;2370662000;8152870.97;30;148237000;148237000;Surface;299572;45426;Entreprise Indorama PTA Montreal s.e.c.;325190;Fab. d'autres produits chim. organiques de base;32519 ;45.612934;-73.505868;22235550
Y0600754;Entreprise Indorama PTA Montreal S.E.C.;31613;2018;5;365;2370662000;8152870.97;31;248318000;248318000;Surface;299573;45426;Entreprise Indorama PTA Montreal s.e.c.;325190;Fab. d'autres produits chim. organiques de base;32519 ;45.612934;-73.505868;37247700
Y0600754;Entreprise Indorama PTA Montreal S.E.C.;31613;2018;6;365;2370662000;8152870.97;30;231646000;231646000;Surface;299574;45426;Entreprise Indorama PTA Montreal s.e.c.;325190;Fab. d'autres produits chim. organiques de base;32519 ;45.612934;-73.505868;34746900
Y0600754;Entreprise Indorama PTA Montreal S.E.C.;31613;2018;7;365;2370662000;8152870.97;31;227165000;227165000;Surface;299575;45426;Entreprise Indorama PTA Montreal s.e.c.;325190;Fab. d'autres produits chim. organiques de base;32519 ;45.612934;-73.505868;34074750
Y0600754;Entreprise Indorama PTA Montreal S.E.C.;31613;2018;8;365;2370662000;8152870.97;31;252739000;252739000;Surface;299576;45426;Entreprise Indorama PTA Montreal s.e.c.;325190;Fab. d'autres produits chim. organiques de base;32519 ;45.612934;-73.505868;37910850
Y0600754;Entreprise Indorama PTA Montreal S.E.C.;31613;2018;9;365;2370662000;8152870.97;30;227661000;227661000;Surface;299577;45426;Entreprise Indorama PTA Montreal s.e.c.;325190;Fab. d'autres produits chim. organiques de base;32519 ;45.612934;-73.505868;34149150
Y0600754;Entreprise Indorama PTA Montreal S.E.C.;31613;2018;10;365;2370662000;8152870.97;31;117268000;117268000;Surface;299578;45426;Entreprise Indorama PTA Montreal s.e.c.;325190;Fab. d'autres produits chim. organiques de base;32519 ;45.612934;-73.505868;17590200
Y0600754;Entreprise Indorama PTA Montreal S.E.C.;31613;2018;11;365;2370662000;8152870.97;30;228812000;228812000;Surface;299579;45426;Entreprise Indorama PTA Montreal s.e.c.;325190;Fab. d'autres produits chim. organiques de base;32519 ;45.612934;-73.505868;34321800
Y0600754;Entreprise Indorama PTA Montreal S.E.C.;31613;2018;12;365;2370662000;8152870.97;31;205209000;205209000;Surface;299580;45426;Entreprise Indorama PTA Montreal s.e.c.;325190;Fab. d'autres produits chim. organiques de base;32519 ;45.612934;-73.505868;30781350
24846859;Regie d'aqueduc intermunicipale des Moulins;31691;2018;3;365;20863323000;77209548.39;31;1490428000;1490428000;Surface;300689;45543;Station de purification, Terrebonne, Regie intermunicipale des Moulins;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.69222651;-73.66201043;223564200
24846859;Regie d'aqueduc intermunicipale des Moulins;31691;2018;4;365;20863323000;77209548.39;30;1467495000;1467495000;Surface;300690;45543;Station de purification, Terrebonne, Regie intermunicipale des Moulins;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.69222651;-73.66201043;220124250
24846859;Regie d'aqueduc intermunicipale des Moulins;31691;2018;5;365;20863323000;77209548.39;31;1984331000;1984331000;Surface;300691;45543;Station de purification, Terrebonne, Regie intermunicipale des Moulins;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.69222651;-73.66201043;297649650
24846859;Regie d'aqueduc intermunicipale des Moulins;31691;2018;6;365;20863323000;77209548.39;30;2060654000;2060654000;Surface;300692;45543;Station de purification, Terrebonne, Regie intermunicipale des Moulins;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.69222651;-73.66201043;309098100
24846859;Regie d'aqueduc intermunicipale des Moulins;31691;2018;7;365;20863323000;77209548.39;31;2393496000;2393496000;Surface;300693;45543;Station de purification, Terrebonne, Regie intermunicipale des Moulins;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.69222651;-73.66201043;359024400
24846859;Regie d'aqueduc intermunicipale des Moulins;31691;2018;8;365;20863323000;77209548.39;31;2193343000;2193343000;Surface;300694;45543;Station de purification, Terrebonne, Regie intermunicipale des Moulins;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.69222651;-73.66201043;329001450
24846859;Regie d'aqueduc intermunicipale des Moulins;31691;2018;9;365;20863323000;77209548.39;30;1794018000;1794018000;Surface;300695;45543;Station de purification, Terrebonne, Regie intermunicipale des Moulins;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.69222651;-73.66201043;269102700
24846859;Regie d'aqueduc intermunicipale des Moulins;31691;2018;10;365;20863323000;77209548.39;31;1606839000;1606839000;Surface;300696;45543;Station de purification, Terrebonne, Regie intermunicipale des Moulins;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.69222651;-73.66201043;241025850
24846859;Regie d'aqueduc intermunicipale des Moulins;31691;2018;11;365;20863323000;77209548.39;30;1451865000;1451865000;Surface;300697;45543;Station de purification, Terrebonne, Regie intermunicipale des Moulins;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.69222651;-73.66201043;217779750
24846859;Regie d'aqueduc intermunicipale des Moulins;31691;2018;12;365;20863323000;77209548.39;31;1501505000;1501505000;Surface;300698;45543;Station de purification, Terrebonne, Regie intermunicipale des Moulins;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.69222651;-73.66201043;225225750
Y2007913;Ville de Saint-Cesaire;31745;2018;6;28;17805000;764250;0;0;0;Souterrain;301801;45630;Station de purification Saint-Cesaire (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.39416667;-73.04;0
Y2007913;Ville de Saint-Cesaire;31745;2018;7;28;17805000;764250;20;12572000;12572000;Souterrain;301802;45630;Station de purification Saint-Cesaire (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.39416667;-73.04;12572000
Y2007913;Ville de Saint-Cesaire;31745;2018;8;28;17805000;764250;4;3057000;3057000;Souterrain;301803;45630;Station de purification Saint-Cesaire (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.39416667;-73.04;3057000
Y2007913;Ville de Saint-Cesaire;31745;2018;9;28;17805000;764250;4;2176000;2176000;Souterrain;301804;45630;Station de purification Saint-Cesaire (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.39416667;-73.04;2176000
Y2007913;Ville de Saint-Cesaire;31745;2018;10;28;17805000;764250;0;0;0;Souterrain;301805;45630;Station de purification Saint-Cesaire (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.39416667;-73.04;0
Y2007913;Ville de Saint-Cesaire;31745;2018;11;28;17805000;764250;0;0;0;Souterrain;301806;45630;Station de purification Saint-Cesaire (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.39416667;-73.04;0
Y2007913;Ville de Saint-Cesaire;31745;2018;12;28;17805000;764250;0;0;0;Souterrain;301807;45630;Station de purification Saint-Cesaire (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.39416667;-73.04;0
