Installation de production Saint-Cyrille-de-Wendover;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Annee:2018;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Numero de l'intervenant;Nom de l'intervenant;Numero sequentiel du lieu de la declaration;Annee;Mois;Nbr annuel de jours de prelevement;Volume annuel preleve (l);Volume moyen quotidien (l);Nombre de jour de prelevement;Volume dedie par lieu par scian;Volume total mensuel;Source du prelevement (description);Numero sequentiel d'utilisation de la declaration;Numero sequentiel du site de prelevement;Nom legal du lieu ou personne physique;Code scian par lieu par mois (code);Code scian par lieu par mois (description);Code scian par lieu par mois (groupe);Latitude DD Nad83 (site);Longitude DD Nad83 (site);Volume consomme par lieu par scian
15926173;Municipalite de Lambton;28484;2018;1;365;43689400;143733.33;31;2852700;2852700;Souterrain;259124;41040;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.8372;-71.079;2852700
15926173;Municipalite de Lambton;28484;2018;2;365;43689400;143733.33;28;2584900;2584900;Souterrain;259125;41040;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.8372;-71.079;2584900
15926173;Municipalite de Lambton;28484;2018;2;365;32427900;107610;28;2041700;2041700;Souterrain;259127;41039;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.8368;-71.0802;2041700
Y2104702;Wilsonart Canada ULC;28248;2018;2;NULL;NULL;NULL;9;764000;764000;NULL;258264;40692;Arborite inc.;326130;Fab. plaque, feuille & forme stratifiee plast.;32613 ;NULL;NULL;NULL
13436449;Municipalite de Saint-Jean-de-Dieu;29667;2018;1;365;57472000;214161.29;31;4453000;4453000;Souterrain;271560;42347;Station de purification Saint-Jean-de-Dieu;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.01014;-69.0378;NULL
13436449;Municipalite de Saint-Jean-de-Dieu;29667;2018;1;365;60255000;208161.29;31;4899000;4899000;Souterrain;271563;42348;Station de purification Saint-Jean-de-Dieu;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.01013;-69.03828;NULL
13436449;Municipalite de Saint-Jean-de-Dieu;29667;2018;2;365;60255000;208161.29;28;4518000;4518000;Souterrain;271564;42348;Station de purification Saint-Jean-de-Dieu;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.01013;-69.03828;NULL
13436449;Municipalite de Saint-Jean-de-Dieu;29667;2018;3;365;60255000;208161.29;31;4952000;4952000;Souterrain;271565;42348;Station de purification Saint-Jean-de-Dieu;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.01013;-69.03828;NULL
13436449;Municipalite de Saint-Jean-de-Dieu;29667;2018;1;0;0;0;0;0;0;Souterrain;271566;42346;Station de purification Saint-Jean-de-Dieu;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.01019;-69.03727;NULL
13436449;Municipalite de Saint-Jean-de-Dieu;29667;2018;2;0;0;0;0;0;0;Souterrain;271567;42346;Station de purification Saint-Jean-de-Dieu;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.01019;-69.03727;NULL
13436449;Municipalite de Saint-Jean-de-Dieu;29667;2018;3;0;0;0;0;0;0;Souterrain;271568;42346;Station de purification Saint-Jean-de-Dieu;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.01019;-69.03727;NULL
11722618;Municipalite d'Hebertville;30132;2018;1;22;98420000;4478823.53;0;0;0;Surface;282630;43168;Centre de ski Mont Lac Vert;71392;Centres de ski;7139  ;48.35916667;-71.62111111;NULL
11722618;Municipalite d'Hebertville;30132;2018;2;22;98420000;4478823.53;0;0;0;Surface;282631;43168;Centre de ski Mont Lac Vert;71392;Centres de ski;7139  ;48.35916667;-71.62111111;NULL
11722618;Municipalite d'Hebertville;30132;2018;3;22;98420000;4478823.53;0;0;0;Surface;282632;43168;Centre de ski Mont Lac Vert;71392;Centres de ski;7139  ;48.35916667;-71.62111111;NULL
11722618;Municipalite d'Hebertville;30132;2018;4;22;98420000;4478823.53;0;0;0;Surface;282633;43168;Centre de ski Mont Lac Vert;71392;Centres de ski;7139  ;48.35916667;-71.62111111;NULL
11722618;Municipalite d'Hebertville;30132;2018;5;22;98420000;4478823.53;0;0;0;Surface;282634;43168;Centre de ski Mont Lac Vert;71392;Centres de ski;7139  ;48.35916667;-71.62111111;NULL
11722618;Municipalite d'Hebertville;30132;2018;6;22;98420000;4478823.53;0;0;0;Surface;282635;43168;Centre de ski Mont Lac Vert;71392;Centres de ski;7139  ;48.35916667;-71.62111111;NULL
11722618;Municipalite d'Hebertville;30132;2018;7;22;98420000;4478823.53;0;0;0;Surface;282636;43168;Centre de ski Mont Lac Vert;71392;Centres de ski;7139  ;48.35916667;-71.62111111;NULL
11722618;Municipalite d'Hebertville;30132;2018;8;22;98420000;4478823.53;0;0;0;Surface;282637;43168;Centre de ski Mont Lac Vert;71392;Centres de ski;7139  ;48.35916667;-71.62111111;NULL
11722618;Municipalite d'Hebertville;30132;2018;9;22;98420000;4478823.53;0;0;0;Surface;282638;43168;Centre de ski Mont Lac Vert;71392;Centres de ski;7139  ;48.35916667;-71.62111111;NULL
11722618;Municipalite d'Hebertville;30132;2018;10;22;98420000;4478823.53;0;0;0;Surface;282639;43168;Centre de ski Mont Lac Vert;71392;Centres de ski;7139  ;48.35916667;-71.62111111;NULL
11722618;Municipalite d'Hebertville;30132;2018;11;22;98420000;4478823.53;5;22280000;22280000;Surface;282640;43168;Centre de ski Mont Lac Vert;71392;Centres de ski;7139  ;48.35916667;-71.62111111;NULL
11722618;Municipalite d'Hebertville;30133;2018;1;365;497219000;1690967.74;31;41254000;41254000;Souterrain;282641;43169;Systeme d'approvisionnement d'eau potable Hebertville;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.35339435;-71.72727918;NULL
11722618;Municipalite d'Hebertville;30133;2018;2;365;497219000;1690967.74;28;37881000;37881000;Souterrain;282642;43169;Systeme d'approvisionnement d'eau potable Hebertville;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.35339435;-71.72727918;NULL
11722618;Municipalite d'Hebertville;30133;2018;3;365;497219000;1690967.74;31;42219000;42219000;Souterrain;282643;43169;Systeme d'approvisionnement d'eau potable Hebertville;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.35339435;-71.72727918;NULL
11722618;Municipalite d'Hebertville;30133;2018;4;365;497219000;1690967.74;30;37150000;37150000;Souterrain;282644;43169;Systeme d'approvisionnement d'eau potable Hebertville;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.35339435;-71.72727918;NULL
15926173;Municipalite de Lambton;28484;2018;5;365;32427900;107610;31;2958200;2958200;Souterrain;283297;41039;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.8368;-71.0802;2913520
15926173;Municipalite de Lambton;28484;2018;5;365;10879900;35909.68;31;999400;999400;Souterrain;283292;41041;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.8333;-71.0728;984430
15926173;Municipalite de Lambton;28484;2018;5;365;15678600;53451.61;31;1388600;1388600;Souterrain;283293;41035;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.8327;-71.0727;1366260
15926173;Municipalite de Lambton;28484;2018;5;365;27898700;88010;31;2544900;2544900;Souterrain;283294;41038;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.8381;-71.08;2507820
15926173;Municipalite de Lambton;28484;2018;5;365;14553000;45970;31;1408300;1408300;Souterrain;283295;41037;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.8322;-71.0753;1385960
15926173;Municipalite de Lambton;28484;2018;5;365;20464900;68393.55;31;2071100;2071100;Souterrain;283296;41036;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.83;-71.075;2041290
13429402;Ville de Lery;28199;2018;4;364;34165000;153666.67;30;2281000;2281000;Souterrain;282509;40619;Station de purification Lery-Chateaulyne (poste chloration);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.36124842;-73.78916814;NULL
13429402;Ville de Lery;28199;2018;3;364;34165000;153666.67;31;2136000;2136000;Souterrain;269113;40619;Station de purification Lery-Chateaulyne (poste chloration);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.36124842;-73.78916814;NULL
13436449;Municipalite de Saint-Jean-de-Dieu;29667;2018;5;365;57472000;214161.29;31;5873000;5873000;Souterrain;283663;42347;Station de purification Saint-Jean-de-Dieu;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.01014;-69.0378;NULL
13436449;Municipalite de Saint-Jean-de-Dieu;29667;2018;5;365;60255000;208161.29;31;5102000;5102000;Souterrain;283664;42348;Station de purification Saint-Jean-de-Dieu;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.01013;-69.03828;NULL
13436449;Municipalite de Saint-Jean-de-Dieu;29667;2018;5;0;0;0;0;0;0;Souterrain;283666;42346;Station de purification Saint-Jean-de-Dieu;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.01019;-69.03727;NULL
13429402;Ville de Lery;28199;2018;5;364;34165000;153666.67;30;3593000;3593000;Souterrain;283713;40619;Station de purification Lery-Chateaulyne (poste chloration);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.36124842;-73.78916814;NULL
Y2008344;Ville de Warwick;28510;2018;3;365;635447000;2138516.13;31;37973000;37973000;Souterrain;266552;41087;Station de purification Warwick (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.9547421;-72.0058644;5695950
Y2008344;Ville de Warwick;28510;2018;3;365;478010000;1995750;31;51911000;51911000;Souterrain;266551;41086;Station de purification Warwick (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.92968392;-71.9899423;7786650
13436449;Municipalite de Saint-Jean-de-Dieu;29667;2018;2;365;57472000;214161.29;28;4549000;4549000;Souterrain;271561;42347;Station de purification Saint-Jean-de-Dieu;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.01014;-69.0378;NULL
13436449;Municipalite de Saint-Jean-de-Dieu;29667;2018;3;365;57472000;214161.29;31;5872000;5872000;Souterrain;271562;42347;Station de purification Saint-Jean-de-Dieu;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.01014;-69.0378;NULL
