 ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Annee:2011;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Numero de l'intervenant;Nom de l'intervenant;Numero sequentiel du lieu de la declaration;Annee;Mois;Nbr annuel de jours de prelevement;Volume annuel preleve (l);Volume moyen quotidien (l);Nombre de jour de prelevement;Volume dedie par lieu par scian;Volume total mensuel;Source du prelevement (description);Numero sequentiel d'utilisation de la declaration;Numero sequentiel du site de prelevement;Nom legal du lieu ou personne physique;Code scian par lieu par mois (code);Code scian par lieu par mois (description);Code scian par lieu par mois (groupe);Latitude DD Nad83 (site);Longitude DD Nad83 (site);Volume consomme par lieu par scian
18432286;Mines Richmont inc.;12831;2011;9;365;4128000;14000;30;379000;379000;Souterrain;39404;15982;Beaufor;212220;Extraction de minerais d'or & d'argent;21222 ;48.16171052;-77.55462006;NULL
Y2056275;9101-0637 Quebec inc.;15046;2011;1;365;15720060;90000;31;558000;558000;Souterrain;67917;19615;Camping Choisy;721211;Parcs pour vehicules de plaisance & campings;72121 ;45.43383;-74.23463;NULL
19953066;Municipalite de Tingwick;15041;2011;2;164;51652000;856428.57;7;5995000;5995000;Souterrain;67935;19599;Station de purification Tingwick (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.88963824;-71.98964408;NULL
19953066;Municipalite de Tingwick;15041;2011;3;164;51652000;856428.57;10;4244000;4244000;Souterrain;67936;19599;Station de purification Tingwick (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.88963824;-71.98964408;NULL
19953066;Municipalite de Tingwick;15041;2011;4;164;51652000;856428.57;9;3033000;3033000;Souterrain;67937;19599;Station de purification Tingwick (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.88963824;-71.98964408;NULL
19953066;Municipalite de Tingwick;15041;2011;5;164;51652000;856428.57;11;3773000;3773000;Souterrain;67938;19599;Station de purification Tingwick (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.88963824;-71.98964408;NULL
13435672;Municipalite de la paroisse de Saint-Odilon-de-Cranbourne ;15050;2011;2;365;77682000;238903.23;28;6388000;6388000;Souterrain;67947;19621;Systeme d'approv. sans trait. St-Odilon-de-Cranbourne;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.35372249;-70.66772241;NULL
13435672;Municipalite de la paroisse de Saint-Odilon-de-Cranbourne ;15050;2011;3;365;77682000;238903.23;31;6399000;6399000;Souterrain;67948;19621;Systeme d'approv. sans trait. St-Odilon-de-Cranbourne;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.35372249;-70.66772241;NULL
13435672;Municipalite de la paroisse de Saint-Odilon-de-Cranbourne ;15050;2011;4;365;77682000;238903.23;30;5937000;5937000;Souterrain;67949;19621;Systeme d'approv. sans trait. St-Odilon-de-Cranbourne;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.35372249;-70.66772241;NULL
