No_Simulation,KGE,bv3c_C1,bv3c_C2,bv3c_C3,bv3c_CR,djm_SFF,djm_SFC,djm_SFO,djm_TFF,djm_TFC,djm_TFO,ETP,THI,Conductivite,Manning_riviere
94,0.86782,0.087467,0.1,9.2144,1.1216e-09,0.94617,1.0441,0.84824,5.1103,3.8574,6.7701,0.71669,0.95909,0.18928,0.021
95,0.86782,0.087467,0.1,9.2144,1.7748e-09,0.94617,1.0441,0.84824,5.1103,3.8574,6.7701,0.71669,0.95909,0.18928,0.021
96,0.86016,0.087467,0.1,9.4231,1.7355e-09,1,1.0979,0.90207,5.1103,3.8574,6.7701,0.7738,0.95909,0.18928,0.021
97,0.78008,0.087467,0.1,9.1347,1.7903e-09,0.94617,1.0441,0.84824,5.1103,3.8574,6.7701,0.53573,0.95909,0.18928,0.021
98,0.8551,0.084622,0.1,9.2144,1.7748e-09,0.69848,0.79641,0.60055,3.6726,2.7722,4.8655,0.71669,0.64054,0.18928,0.027217
99,0.86702,0.087467,0.1,9.2144,1.7748e-09,0.94617,1.0441,0.84824,6.1116,4.6133,8.0966,0.71669,0.95909,0.18928,0.021
100,0.79345,0.087467,0.1,9.2144,1.7748e-09,0.94617,1.0441,0.84824,11.128,8.4001,14.743,0.71669,0.95909,0.18928,0.021
101,0.82406,0.087467,0.1,9.2144,1.7748e-09,0.94617,2.316,-0.42371,5.1103,3.8574,6.7701,0.64683,0.95909,0.18928,0.021
102,0.86785,0.087467,0.1,9.2144,7.5782e-09,0.94617,1.0441,0.84824,5.1103,3.8574,6.7701,0.71669,0.95909,0.18928,0.021
103,0.86836,0.087467,0.1,9.2144,7.5782e-09,0.94617,0.94617,0.94617,5.1103,3.8574,6.7701,0.71669,0.54991,0.18928,0.021
104,0.86309,0.087467,0.1,9.2144,1.3056e-08,0.94617,0.94617,0.94617,5.1103,3.8574,6.7701,0.71669,0.54991,0.18928,0.029512
105,0.84519,0.095633,0.1,9.2144,7.5782e-09,0.68985,1.1572,0.22246,5.1103,3.8574,6.7701,0.71669,0.54991,0.17012,0.021
106,0.8682,0.087467,0.1,9.4977,7.3522e-09,1,1,1,5.1103,3.8574,6.7701,0.71669,0.54991,0.18928,0.021
107,0.64603,0.10045,0.37333,9.2144,7.5782e-09,0.94617,0.94617,0.94617,5.1103,3.8574,6.7701,0.71669,0.54991,0.19462,0.021
108,0.86835,0.087467,0.1,9.2144,2.5877e-09,0.94617,0.94617,0.94617,5.1103,3.8574,6.7701,0.71669,0.54991,0.18928,0.021
109,0.79599,0.087467,0.1,9.2144,7.5782e-09,0.94617,0.94617,0.94617,5.1103,3.8574,6.7701,0.86145,0.54991,0.18928,0.021
110,0.85201,0.087467,0.1,7.5823,9.2095e-09,0.94617,0.94617,0.94617,5.1103,3.8574,6.7701,0.71669,0.036068,0.18928,0.021
111,0.86865,0.087467,0.1,9.2144,7.5782e-09,0.94617,0.94617,0.94617,5.1103,3.8574,6.7701,0.71669,0.54991,0.2,0.021
112,0.73242,0.087467,0.1,9.2144,7.5782e-09,1,1.8619,0.13806,5.1103,3.8574,6.7701,0.92285,0.54991,0.2,0.021
113,0.85892,0.087467,0.1,9.2144,7.5782e-09,0.94617,0.94617,0.94617,4.2519,3.2095,5.6329,0.71669,0.54991,0.10283,0.021
114,0.81158,0.050066,0.1,8.2748,8.4388e-09,0.94617,0.94617,0.94617,5.1103,3.8574,6.7701,0.77519,0.54991,0.2,0.021
115,0.73708,0.087467,0.25566,9.2144,7.5782e-09,0.49673,0.63186,0.36159,3.5029,2.6441,4.6406,0.71669,0.54991,0.2,0.021
116,0.789,0.036762,0.1,9.2144,7.5782e-09,0.94617,0.94617,0.94617,5.1103,3.8574,6.7701,0.71669,0.90371,0.2,0.024267
