No_Simulation,KGE,bv3c_C1,bv3c_C2,bv3c_C3,bv3c_CR,djm_SFF,djm_SFC,djm_SFO,djm_TFF,djm_TFC,djm_TFO,ETP,THI,Conductivite,Manning_riviere
160,0.77972,0.087467,0.1,9.2516,1.799e-07,1,1,1,5.0732,3.5893,7.1706,0.53386,0.79656,0.2,0.021
161,0.86718,0.087467,0.1,9.2516,1.799e-07,0.655,0.655,0.655,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
162,0.87017,0.087467,0.1,9.2516,1.799e-07,1,1,1,5.0732,3.7093,6.9385,0.71669,0.79656,0.2,0.021
163,0.86215,0.11918,0.1,10,1.6644e-07,1,1,1,5.0732,3.9036,6.5931,0.71669,0.79656,0.2,0.021
164,0.82855,0.087467,0.1,6.2425,2.6662e-07,1,1,1,3,2.1225,4.2403,0.71669,0.79656,0.2,0.021
165,0.86882,0.087467,0.1,7.8067,2.132e-07,1,1,1,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
166,0.83562,0.087467,0.1,6.7112,2.48e-07,1,2.3022,-0.30224,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
167,0.83563,0.087467,0.1,9.2516,1.799e-07,1,2.3166,-0.31665,5.0732,3.5893,7.1706,0.71669,0.79656,0.1822,0.021
168,0.83004,0.087467,0.1,9.2516,1.799e-07,0.84601,0.84601,0.84601,5.0732,3.5893,7.1706,0.82719,0.79656,0.2,0.021
169,0.47199,0.087467,0.1,9.2516,1.799e-07,1,1,1,5.0732,3.5893,7.1706,1.1204,0.79656,0.2,0.021
170,0.87056,0.087467,0.1,9.2516,1.799e-07,1,1,1,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
171,0.8313,0.048518,0.1,9.2516,1.799e-07,1,1,1,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
172,0.75903,0.087467,0.1,9.2516,1.799e-07,1,1,1,5.0732,3.5893,7.1706,0.50175,0.79656,0.2,0.021
