1;  0.0015
2;  0.0009
3;  0.0004
4;  0.0004
5;  0.0043
6;  0.0072
7;  0.0049
8;  0.0072
9;  0.0007
10;  0.0036
11;  0.0054
12;  0.0003
13;  0.0011
14;  0.0063
15;  0.0000
16;  0.0013
17;  0.0028
18;  0.0095
19;  0.0007
20;  0.0021
21;  0.0011
22;  0.0008
23;  0.0013
24;  0.0063
25;  0.0014
26;  0.0003
27;  0.0121
28;  0.0052
29;  0.0020
30;  0.0038
31;  0.0001
32;  0.0011
33;  0.0093
34;  0.0089
35;  0.0015
36;  0.0011
37;  0.0008
38;  0.0020
39;  0.0014
40;  0.0042
41;  0.0034
42;  0.0020
43;  0.0037
44;  0.0001
45;  0.0002
46;  0.0003
47;  0.0002
48;  0.0006
49;  0.0023
50;  0.0037
51;  0.0168
52;  0.0002
53;  0.0002
54;  0.0004
55;  0.0003
56;  0.0015
57;  0.0005
58;  0.0022
59;  0.0012
60;  0.0012
61;  0.0003
62;  0.0009
63;  0.0003
64;  0.0016
65;  0.0010
66;  0.0062
67;  0.0009
68;  0.0009
69;  0.0002
70;  0.0002
71;  0.0001
72;  0.0003
73;  0.0000
74;  0.0007
75;  0.0001
76;  0.0096
77;  0.0001
78;  0.0001
79;  0.0005
80;  0.0001
81;  0.0010
82;  0.0063
83;  0.0001
84;  0.0001
85;  0.0041
86;  0.0070
87;  0.0013
88;  0.0003
89;  0.0000
90;  0.0005
91;  0.0034
92;  0.0025
93;  0.0090
94;  0.0046
95;  0.0026
96;  0.0025
97;  0.0013
98;  0.0026
99;  0.0060
100;  0.0074
101;  0.0014
102;  0.0033
103;  0.0005
104;  0.0004
105;  0.0034
106;  0.0018
107;  0.0004
108;  0.0012
109;  0.0040
110;  0.0044
111;  0.0007
112;  0.0006
113;  0.0002
114;  0.0002
115;  0.0046
116;  0.0094
117;  0.0026
118;  0.0009
119;  0.0038
120;  0.0024
121;  0.0004
122;  0.0007
123;  0.0031
124;  0.0004
125;  0.0006
126;  0.0029
127;  0.0006
128;  0.0055
129;  0.0023
130;  0.0054
131;  0.0043
132;  0.0058
133;  0.0006
134;  0.0124
135;  0.0079
136;  0.0086
137;  0.0000
138;  0.0001
139;  0.0093
140;  0.0018
141;  0.0016
142;  0.0004
143;  0.0059
144;  0.0009
145;  0.0082
146;  0.0030
147;  0.0000
148;  0.0000
149;  0.0041
150;  0.0028
151;  0.0015
152;  0.0013
153;  0.0018
154;  0.0009
155;  0.0007
156;  0.0062
157;  0.0084
158;  0.0000
159;  0.0000
160;  0.0015
161;  0.0002
162;  0.0010
163;  0.0043
164;  0.0098
165;  0.0042
166;  0.0030
167;  0.0000
168;  0.0000
169;  0.0058
170;  0.0050
171;  0.0026
172;  0.0022
173;  0.0132
174;  0.0051
175;  0.0002
176;  0.0029
177;  0.0013
178;  0.0201
179;  0.0015
180;  0.0025
181;  0.0000
182;  0.0000
183;  0.0001
184;  0.0050
185;  0.0037
186;  0.0062
187;  0.0008
188;  0.0079
189;  0.0046
190;  0.0049
191;  0.0044
192;  0.0132
193;  0.0030
194;  0.0052
195;  0.0071
196;  0.0010
197;  0.0022
198;  0.0020
199;  0.0031
200;  0.0011
201;  0.0006
202;  0.0102
203;  0.0008
204;  0.0036
205;  0.0005
206;  0.0011
207;  0.0022
208;  0.0011
